"","frequency","StudyID","Article","SAMPLE_SIZE_SZ","SAMPLE_SIZE_HC","PITCH_F0_HC_M","PITCH_F0_HC_SD","PITCH_F0_SZ_M","PITCH_F0_SZ_SD","PITCH_F0SD_HC_M","PITCH_F0SD_HC_SD","PITCH_F0SD_SZ_M","PITCH_F0SD_SZ_SD","yi","vi"
"1","hz","49","Koppelgaard et al",34,36,144.239464147376,51.0364540227908,157.154202849256,54.7480917159814,22.9906165112341,15.7985231217762,23.1029218000625,29.5419592950506,0.00472709692338151,0.0571897020939839
"2","hz","50","Koppelgaard et al",23,23,117.416819868829,34.7615383529152,134.215336299674,60.5030460691229,30.6316673894374,20.4890091557323,25.7350610163799,47.3645622052455,-0.13188376823353,0.0871455796556899
"3","hz","51","Koppelgaard et al",19,16,166.130241091372,46.6226735018543,148.912115214935,46.6558730671623,26.5041060081689,21.3167247016682,18.5806423187299,12.5760398567416,-0.452423098219476,0.118055674087404
